"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jan 17","5,96","5,26","6,02","5,24","317,18M","12,03%"
"Dez 16","5,32","5,24","5,32","4,87","395,56M","-0,19%"
"Nov 16","5,33","5,86","5,96","5,22","534,45M","-8,73%"
"Out 16","5,84","5,17","5,84","5,09","629,50M","13,18%"
"Set 16","5,16","5,30","5,47","5,02","502,51M","-2,82%"
"Ago 16","5,31","5,14","5,48","5,01","477,91M","3,71%"
"Jul 16","5,12","4,67","5,22","4,52","452,89M","10,11%"
"Jun 16","4,65","4,36","4,66","4,25","536,71M","6,65%"
"Mai 16","4,36","4,84","4,90","4,32","503,52M","-9,36%"
"Abr 16","4,81","4,48","4,95","4,21","572,73M","5,95%"
"Mar 16","4,54","3,83","4,85","3,81","930,51M","20,11%"
"Fev 16","3,78","3,70","3,80","3,42","470,99M","1,89%"
"Jan 16","3,71","3,67","3,72","3,37","477,51M","0,00%"
"Dez 15","3,71","3,88","4,21","3,68","520,82M","-3,39%"
"Nov 15","3,84","3,87","4,18","3,82","541,65M","0,79%"
"Out 15","3,81","3,79","4,29","3,77","636,64M","0,79%"
"Set 15","3,78","3,74","4,30","3,64","716,88M","-1,82%"
"Ago 15","3,85","4,36","4,42","3,59","715,07M","-12,30%"
"Jul 15","4,39","4,69","4,78","4,10","499,79M","-5,79%"
"Jun 15","4,66","4,62","4,79","4,40","489,09M","1,30%"
"Mai 15","4,60","5,11","5,15","4,60","404,50M","-8,55%"
"Abr 15","5,03","4,82","5,22","4,79","447,35M","6,34%"
"Mar 15","4,73","4,77","4,90","4,34","493,81M","-1,05%"
"Fev 15","4,78","4,24","4,95","4,20","489,12M","13,81%"
"Jan 15","4,20","4,30","4,50","4,13","531,49M","-2,78%"
"Dez 14","4,32","4,70","4,75","3,98","491,76M","-8,67%"
"Nov 14","4,73","4,43","4,96","4,17","399,15M","6,05%"
"Out 14","4,46","4,13","4,82","3,72","707,20M","6,70%"
"Set 14","4,18","4,99","5,11","4,08","463,03M","-14,87%"
"Ago 14","4,91","4,22","4,94","4,13","401,90M","15,80%"
"Jul 14","4,24","3,90","4,34","3,80","325,51M","9,28%"
"Jun 14","3,88","3,82","4,15","3,75","295,09M","1,84%"
"Mai 14","3,81","3,97","4,17","3,80","327,85M","-4,03%"
"Abr 14","3,97","3,75","4,05","3,71","391,92M","5,87%"
"Mar 14","3,75","3,42","3,76","3,22","465,59M","9,01%"
"Fev 14","3,44","3,32","3,51","3,22","473,37M","3,61%"
"Jan 14","3,32","3,52","3,54","3,21","411,67M","-5,41%"
"Dez 13","3,51","3,60","3,64","3,39","387,35M","-3,31%"
"Nov 13","3,63","3,78","3,78","3,43","371,19M","-3,71%"
"Out 13","3,77","3,53","3,77","3,45","406,94M","7,41%"
"Set 13","3,51","3,31","3,62","3,20","422,00M","7,67%"
"Ago 13","3,26","3,26","3,41","3,12","552,98M","0,93%"
"Jul 13","3,23","3,18","3,35","2,90","540,66M","0,94%"
"Jun 13","3,20","3,63","3,63","3,04","493,21M","-11,85%"
"Mai 13","3,63","3,46","3,73","3,42","429,23M","4,61%"
"Abr 13","3,47","3,65","3,67","3,30","426,86M","-5,45%"
"Mar 13","3,67","3,51","3,77","3,48","382,03M","3,38%"
"Fev 13","3,55","3,46","3,60","3,32","393,16M","2,60%"
"Jan 13","3,46","3,37","3,64","3,37","396,48M","3,90%"
"Dez 12","3,33","3,25","3,43","3,20","363,57M","3,10%"
"Nov 12","3,23","2,98","3,26","2,96","352,20M","8,03%"
"Out 12","2,99","3,02","3,09","2,82","547,29M","-1,32%"
"Set 12","3,03","3,13","3,50","2,99","483,70M","-3,19%"
"Ago 12","3,13","3,22","3,46","3,12","401,49M","-2,80%"
"Jul 12","3,22","2,84","3,33","2,75","356,66M","12,98%"
"Jun 12","2,85","2,87","3,07","2,68","323,27M","-3,39%"
"Mai 12","2,95","2,99","3,03","2,67","518,29M","-2,64%"
"Abr 12","3,03","3,43","3,49","2,86","476,39M","-11,40%"
"Mar 12","3,42","3,63","3,84","3,40","350,85M","-5,00%"
"Fev 12","3,60","3,46","3,67","3,39","304,28M","4,96%"
"Jan 12","3,43","3,41","3,65","3,32","355,24M","1,48%"
"Dez 11","3,38","3,17","3,41","3,14","393,28M","8,33%"
"Nov 11","3,12","3,03","3,22","2,83","347,60M","-1,89%"
"Out 11","3,18","2,78","3,28","2,65","386,90M","12,77%"
"Set 11","2,82","2,90","3,02","2,63","399,87M","-0,35%"
"Ago 11","2,83","3,09","3,10","2,38","681,64M","-7,21%"
"Jul 11","3,05","3,50","3,55","2,94","328,99M","-13,11%"
